participants,win,champion,kills,deaths,assists,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates
"['d66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'SorCrpsgNFXHdNcdZ2m47enpTSV43CwGc7rhYtLS6JpRXUNkpXnsH7XyliWVPAQQCiFw2_Y0FTgyBQ', 'an22PM83C73bkVp1VYrOn9bDx9aLW2hM2hVOzaEw_IBrTFlkHoNH866iPWTrqlhG1WvpQrnaY2DHmg', '2Jmj26CzoRJm43oNW2HK9CB_Ucl39dragYHTE0gQMeF1FbM1S-867TT3YE5dQ5itjHJhOegHQTHmlw', '6bDhHEQj8Dn3MAFoMG98jvGVEZ18n0jE2w4nJzAr5ijmYoyivySMNG_DDvRseIQRCMMGrdHRzqER7g', 'pLsWfTCfaiBpcgQig8hDvRvGBkU2QkOfoop8lxtHBCqo1fAE4uC83XKA_iPwitGa0oHFwPbbUDsqVA']",1,Zilean,1,4,29,10596,24,9960,32102,1835,181,45,21,2034,2135,2034,False,UTILITY,0,0,1,1835,2550
"['d66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'pjGjoLJ_Wis-L_MQEmXEMu0fjnUYnWQzC921tBcS1uFAxQBguy3p3ayE84WbSHlGG9LoMZXg6VxCDw', 'U0GJA0PkbdfWNFEkFWkiANnWxEoyBHxdxxgrQpMtWYSL2CjBAGFVn6QPJpgRxjgrLJF_iFSc4mifIQ', 'ODOTxuVdbm57YQ0KDiG4NoKE5eF5dz5u3s0Q6zeKy4TOpsyWQn3yh5MgVybjWgLiA7S1pLXxJjycRA', 'J7K9yX-xuG3G9DILmLmXRuBqZWt9TwbE5DmS1BZ2Ridk734O51FVGM1aP0KoilKg3PLT7uuTS7kMyg', 'VrmPd62WHY2NMBjbD7ZdBxqkP-FAC5nZRqui56ljjl28LyMxmEwIa6aFi9jyfXTiehwoo9cv-A7TiA']",1,Zoe,4,10,11,8870,10,17971,21762,0,135,39,17,1749,2599,1749,True,UTILITY,0,2,2,0,164
"['zidX4wyMk3i2Kogfu0UrrxWhbwAgQ1nBHvCwdEi287nASeGbwBeGjERCr58XZ5FAyuuz0nTfl3XiTQ', '7vjHm0OhRuxste-KAU1_yxMZJq5LHZNJOKWkM1ImWQ-Ke5SboXMfAgPgreHwfaFxM0_W5Z5r7PtdDg', 'TTvL8WTBrRO0yEyc0P4cBGHLK58ts2zGSQNOEjviicr36xKqYom8MS_uny1JjnNX_iWkyUFKwrnkMA', 'p10ZksUO3eJet4q0MoG-JQ60cKp17PxutJRwovwY_tYCzS-UNsaPILpZg4s3ksXLTZPPh_W0IqhxdA', 'yXIaWws0sPVrERz8SIN4rFWPLl31kU34OSGDCp0r86cYBPQ4Clv0aXmh8yfZZcNZ_W2L5GKkaQGh-A', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",0,Pantheon,5,8,11,8986,20,13435,20347,0,39,54,21,258,3157,258,False,UTILITY,0,0,1,0,0
"['d66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'MIWFXqmrKJfRB_syXykyUw3ugkaTJM0yCClXPzX9yd9ELmMp7IxGSGIlkCZ_mwb0fBe4VZL7L7_hwQ', '4hyNNnkmMTWcCJGxAiN-0UA3McuxLmsZU5om-jrNt1tg04NsomILz3jNDCK3RU6nw75QB-QrDiZVMQ', 'U5TYyhb1Vbxb9hgDhRLRsyLhxnzp7SijRRJp3Lcjblk0peDAaP5if_QGW97wYZK-evHLpZmZk6GEpQ', 'IpMqr3dDI4pTNgTAWz_T-w6fNlNYAR94psnSjbmBT_FWg4R3DREfyxELGeIFq7eSAvUE7bTcAgRRbw', '6J6Zn4PR1_Wx9VwVenUx8BFpUwBLqVB5K-S8sGCr4EDr4OuCoU17xXifGYtBr8uusNclmvpEVJVp7w']",1,Ivern,3,3,25,8573,8,7379,12907,9572,109,24,9,3937,4101,3937,False,UTILITY,2,2,1,9572,1343
"['CBD1l26RzaFFa-cImBA7O9wwGvH3h7h3vxTCfqbY8UbgU3P9VM4FqpT_MKlMwYsyCftlfbg69x2Lug', '4Mt7PE0TePuKtNbf8ZRbZ00dF5zo5RPArg7JA521TMvqlsY0OiDygATXJAy4PbbdzwdPfhriW995DA', '3IqHpuzD2qM3N4a-zwgugLXAULY4PpU4Hk4MxC0BD2b-JvxmsnbNQsictLvhtjmcP8DJ09jIjHzSYw', 'nuCNgtivBrCyFbooA77WnQs2HSFM6NBkKbEGCOLrRto6XkABkbS5jKDsPt8SO9sCxqsV2zTf2LL3ww', 'og4jPIpQTuulLiluKtbDB9seZAjHnNfDEp3quMt031EfQ27FEbTrlU4kRvfHEkNZUlmOWXLVQkZfVA', '2OMPRH0mVGvhRdY14pE18j1YPUNdJKB0IQ5NmIptqw3zpWoEaKxYtC5UBEzzepFrX24qGvwAsjhtVA', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",1,Singed,3,18,23,12787,22,16730,62896,0,334,83,33,724,3594,724,False,UTILITY,0,0,1,0,0
"['-34neXe-6Jv5gh-aG1oG30Qj4K2_nUyaQk7aKYAdmlP75U6hjpvVkgGbHnqKiTP5fCmD4yKeu-IAug', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'n6GleSPuR5gaU7D81zHcaXBbFMTzOES53Y2VDkAVUA-P9S3QzewXgOCi6H-6EoMUOtB21XfUous02g', 'B28pH1nJ6I1wigkzbokuE_yEMNleK_kAgCkuei8qSUIXN0l1C0TvzqPJM21wedPwxVXUxEZMpGj0bQ', 'ZyO7TEgLG8Dn5nNBY9Oa29bHPYiLX69lrxUOiFtvZV-oMOsyusSMkYgK6M-46xQvq1ZhoFz5WnfhWw', 'ECjphx9RdXoxUPcbMDtmnc4byiGtqjDOk9392q7y2eK1dGc9rvvsxKNBGCDbdKIpQIHKp0E7sBmbeg', 'YFVcxceVHDdKiDIoWSybKYBCzGGBq4f0CgOVaRM_4W6OwHh799F85QtUQTeEWLZd3XIjyimaY48dGg']",0,Lux,2,7,4,5653,23,10801,11387,839,134,30,11,247,467,247,True,UTILITY,0,0,1,839,0
"['-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'ioUD0FHmz42K6YbqIvNjopcXgdgfBU8LKa0usDLNU-oyBH25ZZvhm7lNuFFqCzlVfzm5ASUKy3sseg', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'RuwtMsiK4T1DucOlG6MgGvBQDspZv-H_SQcRimr-6svyeC6LQ47_kanKv8xfsBOssS00Vgoav0ECHg', '1XegXZ123HLtlfbhPPLno-ufUBdsfB5O_mOlUPkRY8LNZrspPiP_1cmavD1M2J15KUg4mHWIGCRQjw', 'zFLIWzintikfmAF7DwzhJgEKzSLtNUP_28DB621qgDLHCz8oIcH-d73Vtmz-t5wnm9g6akXeXV0kog', 'igJ5K4eN7R-MtTrwvMselgLmed9puY41GyUpGrkGfQ7DyjgTpSwov97o7lUnzoN0eDwaWJkEubHgUQ', 'qmKs2Rrq_vqASzwcKZGaC3SkIxYUELUaHgkmvWqF_oPz7dLvbEEdOnSnowsidNIEGjcW2O8SCsW7LQ']",1,Graves,3,9,10,9643,11,13478,23269,0,409,14,6,182,10975,182,False,JUNGLE,0,0,1,0,0
"['-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', '7brnwYm1rf6EwwicpmUZ0WMe6_B7EzsP9u66Zpa0O8fiQvvCu1-6Eb9P-V4aSj_rkkYOtfVAt5qudg', 'ZBof2pUo5JTqJKr1Ea4kAn9EfkiBBKfTl4IP_cuKiCKeJAFtVGgKfrvQm0SuqolsNUUH4DbvAaRneQ', 'Nitlmyw7coTLSvw3x9wTlSQOcbe7Jgkr4AekpT9AWBWA4sQvHaojr-RdWnbaJJIasfU--A6jugoYFQ', 'yvc2Dkt0IcrpfdA6dn2io_r0tIl84_pSZ2b4Qat6T3TegLK8pGyhjbpbw3fWlph-_xXK6YoTzfaTRQ', '9eJ9TanKXwXqdOH7GnFE2nkKLXlXh7KJwz89Xnuy6PXzC1QtHcULu_kzobfuvxcJgHiO3BP0id3r8A']",1,Nocturne,9,4,11,12461,23,22108,29910,0,607,18,8,5686,23557,5686,False,JUNGLE,1,3,2,0,0
"['-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'kpAAEmnU4UfIad6vriwTJGcJM9lZWyAp-ioFioBpcFMw7Qbk4s2s0rx-0xTFVId0LZvUHUFnS2jEtw', 'XRPjwQ4zYqqe5VOIqZOycQgTDye9IIN3DxXGiFH33T3PYn-U23WZ7gQRTDsG-igVbjGvg8PL8OPCFA', 'BWejYOD6QSrT-y2JsnLN2S6bUiL8pezyyK1CWbjv2Mb12vl6pmC8iUVV8hXVPLmwETWiJT2BDRS_ZQ', 'eeAnUBzIdHdkgNsmW1q0tOyoSfDwWQY_FcszIFWlATgZ1wCJIN5JdAsgkxwo13xgDmiEfcCYVUGA6g', '6ruvJyzzsAMUveyyV0G4TKv_tUbk-P9SKz7T_IwQExFnath2E4j-wDN72CNiunb0Ir2OhqUN3eVTeg', 'ZabqJ5tiPEyny5eBd7dRWfu59yQYgLXb0v3FsW119AFbTTPjRGgY9MeyCPIUVKV_hojhYCT3PH2z6w']",1,Graves,13,11,9,15917,11,28324,33523,0,628,11,6,2696,40154,2696,False,JUNGLE,2,4,2,0,0
"['QeHj9LIPGY0966K5-NT9Ksj21RYxudRehN-NPZHu9ooXhTy5opgrm_RzpKVRqOn12FKnHDpO1hJdDg', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'qVbEnRmifE0RxjadEgyDsQYPdM1lB2JaLPHnAFemfbpli_VAE6pIY663SM9Ui-q97Kk0mlOxsEFneQ', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'mvge111mI5aqFaBiRJMkdha6k1hZEuvyM0MhkmEDEisr8wunp6gLnX-vgeHHgElVik4lFs-SNmBSfQ', '0uLMypSWb6ljXzGG6_4IwCBbrHhuusrgyb1FiUNixEP5BZSshHPVztcLpjQUeFuJ5ZTi6XakgeIpBg', 'TTIBuAzazB3y0j4stcfOeF6d61H1Iz1wHgj3wOMzJU78gJlC5ykV5CF9kzWuRqGgKF3t-ii5Fw5yqA', 'YLDvBvTVWdD44qdEq6_-GG0-wUNZfzO5nd0e58JtZ_R3q19gFStxPc32Pgn1CKhOzyZK7bxWU_nZMw', '3Fh1RAEJv6tIhJkv0CnGedcQf_UPxrqz9UaRDP88RrkZ8m3M7l0NWlf-z6gUAsLwwX86YlqLgkYMZw']",1,Ivern,1,8,15,13329,5,11034,29185,12208,168,23,11,4461,46335,4461,False,JUNGLE,1,0,1,12208,1365
