participants,win,champion,kills,deaths,assists,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates,loadTime
"['-aUURUm0BjDvqYT59D6U5iB6fnlOPTsOF67yUCQRc1p_vgd5eFHeVv9XwzlIdIose5csBhivJIcMSw', 'doctGY7EKZYTQASNMNmf3RTUaekH-lhmCj3G_PHJSVq0tdmyJ27BrDg7OZOjw5LBhebJmFX4f_UrcA', 'sciGu0_PJNU0DAdb6uN33wbYQ7K7ug-NWwoht1bD1ISBTkVd3vGfZ24vwYcASTOIYC1YmzCuv8KTnw', 'ZonHWaJXC1lHym5p3k3ncd-DERuIF0cd1RUF9WmDWd_FUvzzGFIxSq1Xpwoefe-BiQSZeFOp3B5zgw', '-eQJ2IU7iD-aw3SjvfhNfQgNV0YPgNzwC9P7uWuJTlvEnsHbe8h_KqtCaQcIc483QbtN4_EIrETevw', 'XktGINEAJLyKmRS_JIMdDPwXQLKTdXXncyAn7-snciUfhGX_VK0YcUdVCcunlCTyevqWp1qG-xQQZw', 'UvQKl7KTocP7W3j9boXv_jM7nm1uglHGuIcQoA1FHNUntSECX6AmZ3zh_BeAtjWS3jXpmeilxUmY7g', 'q-LBK_6Rdsehrxlrakpr7BDE3WmJEyRxeDsPtAq-ihu6PbdctosHl2wEHLDJYzPHGJcNN0gz59YhTg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w']",0,Jinx,8,11,7,12998,223,22897,22822,0,33,16,10,3402,5811,3402,False,BOTTOM,0,2,2,0,0,82.501
"['8YUtmkARepdVGeZsdOzPeQAQ8FQuoEKqsrEDX2Y2LRKA3mqIxnfNhwQ_7uZN2dGKjrvojLTwAEA4LA', 'q1Qpnq0BZHIQliGZ844ZK7rWaygFqJP_RNdi9NR6p-gtkPSVdCRPgI3QnCVfsroyLAwho8s1OyW4cg', 'HorWrXtzeSia0rg174sR1aSdq9riYkOZo-us1K7h3v2bFBzlO144-0EzX_eRgAf9FmSli7pH46lscw', 'Bv8iO1QhMhAON6poekz3m7d42vkZuj5BIN2-oRsarEZIkYgAbpoiNSIL0l7UFl6y8lzuvsN4ZI9WdA', 'ZdWWBYtnNI-42C2Kb5hRgzmCfGHVP5E2vyORWXgjy70WKlET16Qk7jxq9SU3k__5zALyxMROs7ZaLg', 'D_mpNFlW9gHN_isqLC9fw19pHsmcs-FbDCKhidZRrPnXgqLuOtb4nSZidwRZNIkcRhqS-owhbb6Rgg', 'VePYaZniGI0faKbq0gz_b4Fx2S8wZ__F3MJ9jofNw-InljeqbsIPGKEMtZUWBbpb9nKcKOk6V5mSAQ', '7_b0H3fIhyUj_XjmxrOOEi2cwmkFCLBaNgMHWQf-G6YZ9Ie0NV94ANejy26fm8NV3dMJi1ShxRURbg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w']",1,Jinx,11,4,8,17798,303,33420,29186,0,147,36,10,8406,34466,8406,False,BOTTOM,1,7,3,0,0,22.036
"['VDC-W0jElWySjw50yRhnnSdn3aqydQJBnxBmv8LrnVOTea6qhCHZPy6bnR-EHGA-kIx7U-6K3hJiVQ', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', '_xG7OsucHgdhOwOTuhLc_mhHz7dFZcdrut66d0HPX1xUYXl_eX-tggGYCTQlNwqljeMAcn5OtqmKnQ', '-PXMK6F007ipNcOrxVPeekLmMPpshvaoG4IYG1iulWYDMICbEr9Eae7W1EBEBvvEGjWUpopFkMWK7g', 'Ltl_uXuaVFG0K8qIVjEmdqADkc3ygrw9mkDvASWMXrwuHM1YFX4Qn_mP8uwaqXVo3e11wa9aZR2rLA', 'Rsveceu4w6PQyElw_S7Fh5Q8cajc9-cp2TtYRQ1QslkZiL6VcHPpAYx0sO2f9dtH8io7tSZhGcBKqA', 'TyiejgBZYwM0bpyZjm7I3-y7WmXyFvZyFMfHIRgpJKkaSMix-GXKlgo1JA_PwW4EAkPDFx2oXz5ksA']",1,Jinx,16,5,6,18603,312,45765,32211,0,107,21,10,14250,19552,14250,False,BOTTOM,1,6,4,0,0,244.652
"['VDC-W0jElWySjw50yRhnnSdn3aqydQJBnxBmv8LrnVOTea6qhCHZPy6bnR-EHGA-kIx7U-6K3hJiVQ', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'cPq85fVSMXQd-MJow_o8ZwaHUVyfz_q2IW5Rb_MruqrhFj2mmGeRA5RrOyLXb9U3J9UBlXjKHnWENA', 'FuGc4bP1bauvUoxAbMUlKfsWJ6qMFeBz0FW9damLEP5YCQ2asJgAmBWomHldjNpSJ3IL9k6ek5qS8A', 'tJpYnbE4NOIEauT--dWaxX_W0eWgHGxqbAfBRuW2K301arOUff5O4qAkTAc2EgkrVP72ykL2NU0BOQ', '95cv4MnxyfYKmbcaMqtMeiRdsYCOlCi8zYXfjO0LTMjPeMgJ8CJHOcCQI0WFT4N_edpCPO0PoJfNpw', 'jFIV91LNp9LXWCYAWksoa36VXFAkyNvRHyzg_BnxlsIC962Kv0zbz6-BWePaEqNbdwXLrVsbOEKgNg']",1,Jinx,16,5,5,18535,276,38779,20157,0,134,24,10,6919,36986,6919,True,BOTTOM,0,9,4,0,0,80.327
"['7UsWBNAWsmRm6vDDJdD4GVWd-G0tVQXIDyLe9VcHOS6McozCW3S5P0kVfzXSGB45iUUF_ZAVf5yPug', '3LchCcEf_Pe7H3yeQLv9cXSvhJt0UGZliopR8Jh4__ABUuMvTJAKS56CgEh5kQBOm47XAC3ho1q4pw', 'ZFBpvC0nZoSGl9N4Teb6fz8aeZJ4NvUIE_DA9JDJjHC4GLAB4KGDzn3OhRxtvYadvYcMtqivEm1I8g', '6QImPUjSXUUiFVhu_K3Oj9nvrBNAPMz9YXctjs2kT81XqDOqgMyETRcPyjdCC17ogqlx8kG1zR9b5w', 'oIRsWgl6-0jrj9y6ZOVPBGqzxS8JPJFJbZ6UCprnFrt9H4lofToJ2ol9IjOpJHFi-OOFoW1jeDC0VQ', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'qy4uu9oPsvKgY_yDWfXGqSkM6LX8iZ2lKMDHScJPYsMdPNMA6kxMP5gRuev0NmsCPWn1dnJMHmKetQ', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g']",1,Jinx,17,8,13,17797,254,48598,32644,0,124,31,9,12484,28860,12484,False,BOTTOM,1,8,4,0,0,83.467
"['HAkyTRuz58CxB-RcAxzH8wjlwRZeAV5-H8A7jYDtrescA2swJzSoZd3ZTilFtrkuqBPOppFJ1z_9yw', '8eVcXgd6SPRzyye-dj1woralthJgktEfnp5VXXlKvLQuKq3V9je6dFT45QnQJHg089aT1TML6KyVqw', 'BqxUD9g9ndKzR-x8ik2gNphKpgSzVWCjGh8s9d9-3XqsEkFPVdleQth6o8_BZd2-pnhGkSZStfFU_g', 'uWSEK34aINZGvKTN67bet8sg8xh-kHluwhXhYtjaJ4QpFM-5Wh5FsTWcKRzaghnE7ZgMjFgl6qjUAA', 'HwCJWTcQKZfa2iKIAa1VM507fHt91fhV3UmgkqLt8gVTkNhBJQUodnT1tu0PkGZ-iK1Uc8tE5-Nc7Q', 'VDC-W0jElWySjw50yRhnnSdn3aqydQJBnxBmv8LrnVOTea6qhCHZPy6bnR-EHGA-kIx7U-6K3hJiVQ', 'rb-ZFseLXQXuP7Kn0mN0phEqqaltIO2oSRb3JoItPlotNzhGFDijytK2Tcbh-BR3f8mphEWp9ASdCA', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w']",0,Jinx,8,8,6,14057,262,27579,19733,0,105,8,8,7413,9422,7413,False,BOTTOM,0,2,2,0,0,85.144
"['VDC-W0jElWySjw50yRhnnSdn3aqydQJBnxBmv8LrnVOTea6qhCHZPy6bnR-EHGA-kIx7U-6K3hJiVQ', 'rb-ZFseLXQXuP7Kn0mN0phEqqaltIO2oSRb3JoItPlotNzhGFDijytK2Tcbh-BR3f8mphEWp9ASdCA', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'Yd8aNg7VPBnFLP6TpQaL_zYpv9CRnp-c4K1NTcGATL2okUNWR2TT8yWLaRqHoRznIBJhb660d5k41w', 'rcU6BFU9zV7UfTM72_6eicajmd4FsmtlSE_omxBCSTUmeWf2mkNV0TKUwZyk1JhE1fx14O2jTvt4hw', 'WVC694Tqfys3xcsAHx4X6q4KmHUvYje-38F34bRdYhBPSzEvT14WNaLearv03QkBESADWA3uzCpCSA', 'D0Aoe0-SQ8ihlw4hHRyQzz-622pe6jNpstBJNQ4EVUs3CkTYC3hx0t6aeuuG-GVkID7Ufp8dt6D8yg', '38PXCjSzah6wlQra4BrSUMeaAcafP3uYlRkBjfOaQGglYyrdWnBxr5qyuHP-h_vxj_iiGYVHSVRpNQ']",1,Jinx,17,4,9,13863,206,36682,17649,0,98,20,8,9543,12031,9543,False,BOTTOM,2,7,2,0,0,73.671
"['zZB4Ybyk5FU_taUS4XV6deVLjvA93SG7LXJuvtisd5FwaUCPT5Nx1FyfFOXFuoAcK8mqkMJPFIhJLQ', '6d7NK23fhxoB5SIhVh0uSspC9D_-l4QojhSgzMD26SdShOx6vaJOjF_u3M7kqRYWd3p45nKCY6ZEIw', 'DX9DX2YFplVStjIHYrMrBVraHQf16K4jahWz-OAAUT1NPqPI_Hq0HcTMBYK0miK_XcjYGHIXw8YUPg', '15v02HyAMDu2qeHkQPM1naIaQakucCNXhUV8aPnovG7pnlWZU5AaLiN7nG9lZMbH_ODBbDksu4S1NQ', 'v-h8wtIJHxDnJcQYoe01ZV3jokebAcZ-1aKhbbKXpLrFnPQbqqKGiDIeruaHshVLI6xl9nY_vUxW-w', 'pIWZCUru5hFm8tcsq5L-gBp_4lfEZD6fg5lpvFd6rYQdGWHWbasvt_A2WVH99BXsPpKL72VXjUe-7A', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w']",1,Jinx,16,10,12,26203,447,60208,40794,0,154,29,15,8202,34696,8202,False,BOTTOM,2,5,2,0,0,85.389
"['RWlBIwaI0mAeRx4Jj-Z0Gzb7NTnJAk6cBCTK1qefofQzu-2jd3ntRlQojXyRzmj1x8iLRqdDgvPLPg', 'ozJaM8NaCJ9-F88QzBRRFJiVU0F39KjdjTsaYISs2HHK6se9gDbWcGv-fAqYGiBEgH_2J7gCg2kltA', 'XGpEtCqxAKACTISHM1_qbfQoJXUX_uHgNShMN3PpahJ5GoC_F4FIpGfkg82LiNg7M_7ks7JJvE_Pgg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'n9BldX3aGKW0mUB9TJbv45lh0qauiou6RklBjqVs8XoUKzwEa4ugbdM0lxORkXq-JgtHUZMS-8ykDQ', 'lPJTk99D_vc3kyAStAd6GNnXF9XvHKkYX1YMpKGyqA7hcaqG06bX0ADdHNdq-6m9Ei5kXIKh56-azw', 'Pt-5TTyD8VKSKu2Sz_RG2SOD4i_OxKLbn6PVezaIVO8im1FFMxNBwV6z3R8KCUXqgWUrldpQtX2gZw', 'Kbaqa9OoSMVPhmDdI2gyJ7uQJzUryoF8r93if7Xi4cXotVbERZRnqH3dsjQSgUlhmO9vQtenAIx9qA', 'inKnTPnV13NDkaRHEYOD12WEqbqI-oIgeEzy34lQ48J1RTVFOPBmuej4vnkjT-29OUV8wOS1fdI10w']",0,Jhin,2,6,3,7542,141,11017,13240,0,51,15,8,157,5125,157,True,BOTTOM,0,0,1,0,0,114.038
"['iphMWZhSCRrvhb0UrAQ8xNF8eOwyeuYqATdKSgjgZgoyTKGP5rJZufws6l4Kim0gh2mpEuc_J8QCZg', 'rgzx2v5fU6V2YqUDKKgl4oOR7Gim0eX-KCXOFM0I_XiWRG3sSuobKua1iPyjz8PjgPPX01cbafioCw', 'n_FRRQeSDoeFtFZDIXtjiTuz6u1I5dgwVmRoYVz6bCPaLuA9GIMarOBWZqfTzZkNiZE0AZFg4tq4sw', 'CW1YpP2B0qLipiaYm21l0VIyjZ-qHg992DTaH1_LvxbhJTwXWoEyZfMXjXUfqlZ-sZBRfBFrzkStSg', 'WgQjsyNJPEinNrwlChegSc_xU_3AMrpwidm9HcBIafzcGC08hu05PunTtZz6uYB80Ft3tvz1B1jphw', 'xlSfWjNCfxa3mfo4mFda7kseOUPIZfYkGsi0GZ8c53RD5C-BSVWkBmIQMMLsx0ui8DH6WjcFIhI1Ng', 'mZV_XCQvt3XX2afKssnq26hbu2wMOA8sMgB04QeokNCWQwEzP12CNmE893WOD-okiBcSMTK733QhEQ', '6vLRvUNGqrOzURrPJTdfNZ76oU7387WEK_0U6vEu-Q91yp57m3OpZgPGwNwYHKpXd-C1ZCQLser6cw', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'ZaUdp4b6Zvi42R8H2x70rJNX2T1GxoUWS7jktOGlF_GsHdsQT0vYIzp2mIvH9xcg9aNW5TCPoLAbxA']",0,Jinx,5,9,3,13164,243,17886,23246,0,135,29,10,5681,8080,5681,False,BOTTOM,0,2,1,0,0,69.344
