summoner_name,win,champion,champion_level,kills,deaths,assists,summoner1_id,summoner2_id,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,item0,item1,item2,item3,item4,item5,item6,perk_keystone,perk_primary_row_1,perk_primary_row_2,perk_primary_row_3,perk_secondary_row_1,perk_secondary_row_2,perk_primary_style,perk_secondary_style,perk_shard_defense,perk_shard_flex,perk_shard_offense,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates,image_url
HGILLIS,Win,Zilean,16,1,4,29,7,4,10596,24,9960,32102,1835,181,45,21,Solstice Sleigh,Shurelya's Battlesong,Ionian Boots of Lucidity,Imperial Mandate,Warmog's Armor,Aether Wisp,Oracle Lens,Summon Aery,Manaflow Band,Transcendence,Waterwalking,Cheap Shot,Relentless Hunter,Sorcery,Sorcery,Health Scaling,Adaptive Force,Ability Haste,2034,2135,2034,False,UTILITY,0,0,1,1835,2550,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/26.png
HGILLIS,Win,Zoe,13,4,10,11,14,4,8870,10,17971,21762,0,135,39,17,Zaz'Zak's Realmspike,Sorcerer's Shoes,Luden's Companion,Horizon Focus,Sheen,Amplifying Tome,Oracle Lens,Dark Harvest,Sudden Impact,Eyeball Collection,Treasure Hunter,Absolute Focus,Gathering Storm,Precision,Precision,Health Scaling,Adaptive Force,Adaptive Force,1749,2599,1749,True,UTILITY,0,2,2,0,164,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/142.png
HGILLIS,Loss,Pantheon,12,5,8,11,14,4,8986,20,13435,20347,0,39,54,21,Bloodsong,Youmuu's Ghostblade,Synchronized Souls,Umbral Glaive,Serrated Dirk,Pickaxe,Oracle Lens,Press the Attack,Triumph,Legend: Haste,Coup de Grace,Cheap Shot,Relentless Hunter,Domination,Domination,Health Scaling,Adaptive Force,Adaptive Force,258,3157,258,False,UTILITY,0,0,1,0,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/80.png
HGILLIS,Win,Ivern,13,3,3,25,7,4,8573,8,7379,12907,9572,109,24,9,Dream Maker,Ionian Boots of Lucidity,Moonstone Renewer,Ardent Censer,Aether Wisp,Bandleglass Mirror,Oracle Lens,Summon Aery,Manaflow Band,Transcendence,Scorch,Font of Life,Revitalize,Sorcery,Sorcery,Health Scaling,Adaptive Force,Ability Haste,3937,4101,3937,False,UTILITY,2,2,1,9572,1343,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/427.png
HGILLIS,Win,Singed,18,3,18,23,6,4,12787,22,16730,62896,0,334,83,33,Solstice Sleigh,Shurelya's Battlesong,Rylai's Crystal Scepter,Trailblazer,Synchronized Souls,Giant's Belt,Oracle Lens,Unsealed Spellbook,Hextech Flashtraption,Biscuit Delivery,Approach Velocity,Ability Haste,Move Speed,Inspiration,Inspiration,Health,Move Speed,Ability Haste,724,3594,724,False,UTILITY,0,0,1,0,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/27.png
HGILLIS,Loss,Lux,10,2,7,4,14,4,5653,23,10801,11387,839,134,30,11,Zaz'Zak's Realmspike,Sorcerer's Shoes,Malignance,Amplifying Tome,0,0,Oracle Lens,Dark Harvest,Cheap Shot,Eyeball Collection,Ultimate Hunter,Adaptive Force,Health Scaling,Precision,Precision,Adaptive Force,Health Scaling,Adaptive Force,247,467,247,True,UTILITY,0,0,1,839,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/99.png
HGILLIS,Win,Graves,14,3,9,10,11,4,9643,11,13478,23269,0,409,14,6,The Collector,Youmuu's Ghostblade,Plated Steelcaps,B. F. Sword,0,0,Stealth Ward,Dark Harvest,Sudden Impact,Eyeball Collection,Treasure Hunter,Legend: Alacrity,Triumph,Precision,Precision,Health Scaling,Adaptive Force,Attack Speed,182,10975,182,False,JUNGLE,0,0,1,0,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/104.png
HGILLIS,Win,Nocturne,14,9,4,11,11,4,12461,23,22108,29910,0,607,18,8,Experimental Hexplate,Stridebreaker,Plated Steelcaps,Eclipse,Pickaxe,0,Stealth Ward,Conqueror,Triumph,Legend: Alacrity,Last Stand,Eyeball Collection,Ultimate Hunter,Domination,Domination,Health Scaling,Adaptive Force,Attack Speed,5686,23557,5686,False,JUNGLE,1,3,2,0,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/56.png
HGILLIS,Win,Graves,17,13,11,9,11,4,15917,11,28324,33523,0,628,11,6,Lord Dominik's Regards,Youmuu's Ghostblade,Plated Steelcaps,Infinity Edge,The Collector,0,Stealth Ward,Dark Harvest,Sudden Impact,Eyeball Collection,Treasure Hunter,Legend: Alacrity,Triumph,Precision,Precision,Health Scaling,Adaptive Force,Attack Speed,2696,40154,2696,False,JUNGLE,2,4,2,0,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/104.png
HGILLIS,Loss,Malzahar,16,7,10,17,3,4,12128,94,14093,26623,0,174,0,0,Blackfire Torch,Needlessly Large Rod,Sorcerer's Shoes,Liandry's Torment,Rylai's Crystal Scepter,Needlessly Large Rod,Poro-Snax,Dark Harvest,Cheap Shot,Eyeball Collection,Ultimate Hunter,Coup de Grace,Presence of Mind,Precision,Precision,Health Scaling,Adaptive Force,Adaptive Force,619,619,619,False,Invalid,0,3,2,0,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/90.png
